key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-student1,true,"UserIdentity{name: 'Student1', surname: 'Acme3', email: 'student1@acme.com'}",student1,student1
user-account-student2,true,"UserIdentity{name: 'Student2', surname: 'Acme4', email: 'student2@acme.com'}",student2,student2
user-account-assistant-01,true,"UserIdentity{name: 'Assistant1', surname: 'Acme4', email: 'assistant1@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'Assistant2', surname: 'Acme4', email: 'assistant2@acme.com'}",assistant2,assistant2
user-account-administrador1,true,"UserIdentity{name: 'Administrador1', surname: 'Acme4', email: 'administrador1@acme.com'}",administrador1,administrador1
user-account-administrador2,true,"UserIdentity{name: 'Administrador2', surname: 'Acme4', email: 'administrador2@acme.com'}",administrador2,administrador2
user-account-lecturer1,true,"UserIdentity{name: 'Lecturer1', surname: 'Acme4', email: 'lecturer1@acme.com'}",lecturer1,lecturer1
user-account-lecturer2,true,"UserIdentity{name: 'Lecturer2', surname: 'Acme4', email: 'lecturer2@acme.com'}",lecturer2,lecturer2
user-account-auditor1,true,"UserIdentity{name: 'Auditor1', surname: 'Acme4', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor2,true,"UserIdentity{name: 'Auditor2', surname: 'Acme4', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-company1,true,"UserIdentity{name: 'Company1', surname: 'Acme3', email: 'company1@acme.com'}",company1,company1
user-account-company2,true,"UserIdentity{name: 'Company2', surname: 'Acme4', email: 'company2@acme.com'}",company2,company2
